text,lang
"ABBYY (/ˈʌbɪ/) — международная компания-разработчик решений в области интеллектуальной обработки информации и анализа бизнес-процессов, распознавания текстов (OCR) и лингвистики.",1.0
"Наиболее известные продукты — программа для распознавания текстов ABBYY FineReader, платформа для интеллектуальной обработки информации ABBYY FlexiCapture и электронные словари ABBYY Lingvo.",1.0
"Головные офисы ABBYY расположены в Москве, в Северной Америке (Милпитас, Калифорния) и Европе (Мюнхен, Германия), региональные — в России (Новосибирск), Австралии, Великобритании, Франции, Испании, Японии, Украине и Гонконге, а также на Тайване и Кипре.. Разработка продуктов ведётся в офисе ABBYY, находящемся в Москве.",1.0
На 2020 год решения ABBYY используют более 50 миллионов пользователей и десятки тысяч организаций в 200 странах и регионах мира.,1.0
"В апреле 2019 года консалтинговая и исследовательская компания Everest Group опубликовала отчёт Intelligent Document Processing PEAK Matrix Assessment 2019, согласно которому ABBYY стала мировым лидером рынка решений для интеллектуальной обработки документов, возглавив список из 16 вендоров.",1.0
"Сравнение проводилось на основе анализа ряда показателей, таких как влияние на рынок, инновационный подход и успешная реализация проектов.. В 2020 году компания вновь возглавила этот рейтинг.",1.0
,1.0
,1.0
"До 1997 года компания называлась BIT Software, однако в связи с выходом на зарубежные рынки было решено провести ребрендинг: компаний с названием BIT насчитывалось более десятка.",1.0
Давид Ян предложил название ABBYY.. Статья из словаря Lingvo 12 определяет его так:,1.0
,1.0
"Название компании произносится как «аби» и буквально означает «ясный глаз»; реконструированная форма праязыка мяо-яо, гипотетического языка-предка групп мяо-яо, ну, хмун, хмонг и киммун; название связано с деятельностью компании в области создания систем оптического распознавания текстов.",1.0
,1.0
,1.0
,1.0
Весной 1989 года во время сдачи зачёта по французскому языку студенту МФТИ Давиду Яну пришла в голову мысль составить электронный словарь.,1.0
Давид Ян вместе с программистом Александром Москалёвым за лето разработали программное обеспечение к словарю Lingvo.. Первые копии разошлись зимой 1990 года.,1.0
В 1993 году вышла первая версия программы для распознавания текстов FineReader.,1.0
"В 2019 году программа сочетает в себе OCR-технологии и инструменты редактирования PDF-файлов.. FineReader позволяет сравнивать документы любых форматов, а также поддерживает более 190 языков.",1.0
